id,title,year,category,materials,dimensions,image-main,image-thumb,extra-view-01,extra-view-02,extra-view-03,extra-view-04,extra-view-05,extra-view-06,status,tags,slug,subtitle,shop_drawing,description,related_works,related_sketches
sc-1980-400-before-i-forget-04,Before I Forget IV,1980,SC,"burnished galvanized steel, brick, glass, venetian blinds, fiberglass, cups, and wax",72 × 30 × 30 in.,sc-1980-400-before-i-forget-04-main.jpg,sc-1980-400-before-i-forget-04-thumb.jpg,sc-1980-400-before-i-forget-04-detail-01.jpg,sc-1980-400-before-i-forget-04-detail-02.jpg,sc-1980-400-before-i-forget-04-side.jpg,,,,,before-i-forget-series,before-i-forget-04,,,,,
sc-1980-500-before-i-forget-05,Before I Forget V,1980,SC,"galvanized steel, venetian blinds, brick, glass, wax",72 × 30 × 30 in.,sc-1980-500-before-i-forget-05-main.jpg,sc-1980-500-before-i-forget-05-thumb.jpg,sc-1980-500-before-i-forget-05-back.jpg,sc-1980-500-before-i-forget-05-detail-01.jpg,,,,,,before-i-forget-series,before-i-forget-05,,,,,
sc-1980-600-before-i-forget-06,Before I Forget VI,1980,SC,"galvanized steel, forged steel, brick, venetian blinds, glass, and melted wax",72 × 30 × 30 in.,sc-1980-600-before-i-forget-06-main.jpg,sc-1980-600-before-i-forget-06-thumb.jpg,sc-1980-600-before-i-forget-06-back.jpg,sc-1980-600-before-i-forget-06-detail-01.jpg,sc-1980-600-before-i-forget-06-detail-02.jpg,sc-1980-600-before-i-forget-06-side.jpg,,,,before-i-forget-series,before-i-forget-06,,,,,
sc-1980-900-a-bride-for-becoming-01,A Bride for Becoming,1980,SC,"steel, burnished galvanized steel, venetian blinds, glass, wax, and ceramic cups",96 × 156 × 60 in.,sc-1980-900-a-bride-for-becoming-01-main.jpg,sc-1980-900-a-bride-for-becoming-01-thumb.jpg,sc-1980-900-a-bride-for-becoming-01-back.jpg,sc-1980-900-a-bride-for-becoming-01-detail.jpg,sc-1980-900-a-bride-for-becoming-01-installation.jpg,sc-1980-900-a-bride-for-becoming-01-side-01.jpg,sc-1980-900-a-bride-for-becoming-01-side-02.jpg,,,a-bride-for-becoming,a-bride-for-becoming-01,,,,,
sc-1980-900-a-bride-for-becoming-02,A Bride for Becoming II - The Honeymoon,1980,SC,"galvanized steel, venetian blinds, fiberglass, and brick",36 × 72 × 72 in.,sc-1980-900-a-bride-for-becoming-02-main.jpg,sc-1980-900-a-bride-for-becoming-02-thumb.jpg,,,,,,,,a-bride-for-becoming,a-bride-for-becoming-02,,,,,
sc-1981-100-every-instant-01,Every Instant I,1981,SC,"steel, tin cans, plastic, venetian blinds, and glow-in-the-dark paint",79 × 156 × 48 in.,sc-1981-100-every-instant-01-main.jpg,sc-1981-100-every-instant-01-thumb.jpg,sc-1981-100-every-instant-01-detail-01.jpg,sc-1981-100-every-instant-01-detail-02.jpg,sc-1981-100-every-instant-01-side-01.jpg,sc-1981-100-every-instant-01-side-02.jpg,,,,every-instant-series,every-instant-01,,,,,
sc-1981-200-every-instant-02,Every Instant II,1981,SC,"steel, tin cans, venetian blinds, glow-in-the-dark paint, and plastic",76 × 192 × 43 in.,sc-1981-200-every-instant-02-main.jpg,sc-1981-200-every-instant-02-thumb.jpg,sc-1981-200-every-instant-02-side.jpg,,,,,,,every-instant-series,every-instant-02,,,,,
sc-1982-100-every-instant-03,Every Instant III,1982,SC,"steel, tin cans, venetian blinds, and glow-in-the-dark paint",76 × 192 × 43 in.,sc-1982-100-every-instant-03-main.jpg,sc-1982-100-every-instant-03-thumb.jpg,sc-1982-100-every-instant-03-detail-01.jpg,sc-1982-100-every-instant-03-detail-02.jpg,sc-1982-100-every-instant-03-detail-03.jpg,sc-1982-100-every-instant-03-side-01.jpg,,,,every-instant-series,every-instant-03,,,,,
sc-1983-100-go-like-that-01,Go Like That I,1983,SC,"steel, tin cans, venetian blinds, plastic lids, and glow-in-the-dark paint",103 × 41 × 81 in.,sc-1983-100-go-like-that-01-main.jpg,sc-1983-100-go-like-that-01-thumb.jpg,sc-1983-100-go-like-that-01-back.jpg,sc-1983-100-go-like-that-01-detail-01.jpg,sc-1983-100-go-like-that-01-detail-02.jpg,sc-1983-100-go-like-that-01-side.jpg,,,,go-like-that-series,go-like-that-01,,,,,
sc-1983-200-go-like-that-02,Go Like That II,1983,SC,"steel, tin cans, venetian blinds, plastic lids, and glow-in-the-dark paint",101 × 58 × 60 in.,sc-1983-200-go-like-that-02-main.jpg,sc-1983-200-go-like-that-02-thumb.jpg,sc-1983-200-go-like-that-02-back-01.jpg,sc-1983-200-go-like-that-02-back-02.jpg,sc-1983-200-go-like-that-02-back-03.jpg,sc-1983-200-go-like-that-02-detail-01.jpg,sc-1983-200-go-like-that-02-detail-02.jpg,,,go-like-that-series,go-like-that-02,,,,,
sc-1984-snowmen-01-hriv,"Snowmen I, H R I V",1984,SC,"steel, and tin cans",92 × 56 × 39 in.,sc-1984-snowmen-01-hriv-main.jpg,sc-1984-snowmen-01-hriv-thumb.jpg,sc-1984-snowmen-01-hriv-detail-01.jpg,sc-1984-snowmen-01-hriv-detail-02.jpg,sc-1984-snowmen-01-hriv-front-01.jpg,sc-1984-snowmen-01-hriv-front-01.jpg,sc-1984-snowmen-01-hriv-side-01.jpg,sc-1984-snowmen-group-main.jpg,,snow-man-series,snowmen-01-hriv,,,,,
sc-1984-snowmen-02-ham-ram,"Snowmen II, HAM RAM",1984,SC,"steel, tin cans, glow-in-the-dark paint",106 × 52 × 39 in.,sc-1984-snowmen-02-ham-ram-main.jpg,sc-1984-snowmen-02-ham-ram-thumb.jpg,sc-1984-snowmen-02-ham-ram-detail-01.jpg,sc-1984-snowmen-02-ham-ram-detail-02.jpg,sc-1984-snowmen-02-ham-ram-front.jpg,sc-1984-snowmen-02-ham-ram-side.jpg,sc-1984-snowmen-group-main.jpg,,,snow-man-series,snowmen-02-ham-ram,,,,,
sc-1984-snowmen-03-ah-om,"Snowmen III, AH OM",1984,SC,"steel, tin cans, and glow-in-the-dark paint",96 × 56 × 39 in.,sc-1984-snowmen-03-ah-om-main.jpg,sc-1984-snowmen-03-ah-om-thumb.jpg,sc-1984-snowmen-03-ah-om-back.jpg,sc-1984-snowmen-03-ah-om-detail-01.jpg,sc-1984-snowmen-03-ah-om-detail-02.jpg,sc-1984-snowmen-03-ah-om-detail-03.jpg,sc-1984-snowmen-03-ah-om-front.jpg,sc-1984-snowmen-group-main.jpg,,snow-man-series,snowmen-03-ah-om,,,,,
sc-1985-050-remember-include,Remember Include,1985,SC,"steel, epoxy, and wax",96 × 36 × 24 in.,sc-1985-050-remember-include-main.jpg,sc-1985-050-remember-include-thumb.jpg,sc-1985-050-remember-include-detail-01.jpg,,,,,,,remember-include,remember-include,,,,,
gg-adrift-blue-blank,Adrift Blue - Blank,1992,GG,hand blown graal glass,9 × 4 × 4 in.,gg-adrift-blue-blank-main.jpg,gg-adrift-blue-blank-thumb.jpg,,,,,,,,,adrift-blue-blank,,,,,
gg-adrift-blue,Adrift Blue,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-adrift-blue-main.jpg,gg-adrift-blue-thumb.jpg,,,,,,,,,adrift-blue,,,,,
gg-adrift-green,Adrift Green,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-adrift-green-main.jpg,gg-adrift-green-thumb.jpg,,,,,,,,,adrift-green,,,,,
gg-adrift-yellow-blank,Adrift Yellow - Blank,1992,GG,hand blown graal glass,9 × 4 × 4 in.,gg-adrift-yellow-blank-main.jpg,gg-adrift-yellow-blank-thumb.jpg,,,,,,,,,adrift-yellow-blank,,,,,
gg-adrift-yellow,Adrift Yellow,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-adrift-yellow-main.jpg,gg-adrift-yellow-thumb.jpg,,,,,,,,,adrift-yellow,,,,,
gg-africa-amber-blank,Africa Amber - Blank,1992,GG,hand blown graal glass,9 × 4 × 4 in.,gg-africa-amber-blank-main.jpg,gg-africa-amber-blank-thumb.jpg,,,,,,,,,africa-amber-blank,,,,,
gg-africa-blue,Africa Blue,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-africa-blue-main.jpg,gg-africa-blue-thumb.jpg,,,,,,,,,africa-blue,,,,,
gg-africa-yellow,Africa Yellow,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-africa-yellow-main.jpg,gg-africa-yellow-thumb.jpg,,,,,,,,,africa-yellow,,,,,
gg-first-light-amber,First Light Amber,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-first-light-amber-main.jpg,gg-first-light-amber-thumb.jpg,,,,,,,,,first-light-amber,,,,,
gg-first-light-blank-01,First Light - Blank I,1992,GG,hand blown graal glass,9 × 4 × 4 in.,gg-first-light-blank-01-main.jpg,gg-first-light-blank-01-thumb.jpg,,,,,,,,,first-light-blank-01,,,,,
gg-first-light-blank-02,First Light - Blank II,1992,GG,hand blown graal glass,9 × 4 × 4 in.,gg-first-light-blank-02-main.jpg,gg-first-light-blank-02-thumb.jpg,,,,,,,,,first-light-blank-02,,,,,
gg-first-light,First Light,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-first-light-main.jpg,gg-first-light-thumb.jpg,,,,,,,,,first-light,,,,,
gg-flame-blue,Flame Blue,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-flame-blue-main.jpg,gg-flame-blue-thumb.jpg,,,,,,,,,flame-blue,,,,,
gg-flame,Flame Blue,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-flame-main.jpg,gg-flame-thumb.jpg,,,,,,,,,flame,,,,,
gg-frog-postcard,Frog Postcard,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-frog-postcard-main.jpg,gg-frog-postcard-thumb.jpg,,,,,,,,,frog-postcard,,,,,
gg-fruit-red-01,Fruit Red I,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-fruit-red-01-main.jpg,gg-fruit-red-01-thumb.jpg,,,,,,,,,fruit-red-01,,,,,
gg-fruit-red-02,Fruit Red II,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-fruit-red-02-main.jpg,gg-fruit-red-02-thumb.jpg,,,,,,,,,fruit-red-02,,,,,
gg-fruit-red-blank,Fruit Red - Blank,1992,GG,hand blown graal glass,9 × 4 × 4 in.,gg-fruit-red-blank-main.jpg,gg-fruit-red-blank-thumb.jpg,,,,,,,,,fruit-red-blank,,,,,
gg-fruit-yellow,Fruit Yellow,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-fruit-yellow-main.jpg,gg-fruit-yellow-thumb.jpg,,,,,,,,,fruit-yellow,,,,,
gg-imprint-amber,Imprint Amber,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-imprint-amber-main.jpg,gg-imprint-amber-thumb.jpg,,,,,,,,,imprint-amber,,,,,
gg-imprint-blue,Imprint Blue,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-imprint-blue-main.jpg,gg-imprint-blue-thumb.jpg,,,,,,,,,imprint-blue,,,,,
gg-imprint-red,Imprint Red,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-imprint-red-main.jpg,gg-imprint-red-thumb.jpg,,,,,,,,,imprint-red,,,,,
gg-karnac-blue,Karnac Blue,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-karnac-blue-main.jpg,gg-karnac-blue-thumb.jpg,,,,,,,,,karnac-blue,,,,,
gg-karnac-green,Karnac Green,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-karnac-green-main.jpg,gg-karnac-green-thumb.jpg,,,,,,,,,karnac-green,,,,,
gg-karnac-red,Karnac Red,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-karnac-red-main.jpg,gg-karnac-red-thumb.jpg,,,,,,,,,karnac-red,,,,,
gg-karnac-yellow,Karnac Yellow,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-karnac-yellow-main.jpg,gg-karnac-yellow-thumb.jpg,,,,,,,,,karnac-yellow,,,,,
gg-oaken-presence-amber,Oaken Presence Amber,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-oaken-presence-amber-main.jpg,gg-oaken-presence-amber-thumb.jpg,,,,,,,,,oaken-presence-amber,,,,,
gg-oaken-presence-blank,Oaken Presence - Blank,1992,GG,hand blown graal glass,9 × 4 × 4 in.,gg-oaken-presence-blank-main.jpg,gg-oaken-presence-blank-thumb.jpg,,,,,,,,,oaken-presence-blank,,,,,
gg-oaken-presence-blue,Oaken Presence Blue,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-oaken-presence-blue-main.jpg,gg-oaken-presence-blue-thumb.jpg,,,,,,,,,oaken-presence-blue,,,,,
gg-oaken-presence-clear-blank,Oaken Presencer Clear - Blank,1992,GG,hand blown graal glass,9 × 4 × 4 in.,gg-oaken-presence-clear-blank-main.jpg,gg-oaken-presence-clear-blank-thumb.jpg,,,,,,,,,oaken-presence-clear-blank,,,,,
gg-oaken-presence-clear,Oaken Presence Clear,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-oaken-presence-clear-main.jpg,gg-oaken-presence-clear-thumb.jpg,,,,,,,,,oaken-presence-clear,,,,,
gg-oaken-presence,Oaken Presence,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-oaken-presence-main.jpg,gg-oaken-presence-thumb.jpg,,,,,,,,,oaken-presence,,,,,
gg-ohm-frog,Ohm Frog,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-ohm-frog-main.jpg,gg-ohm-frog-thumb.jpg,,,,,,,,,ohm-frog,,,,,
gg-ohm-frog-red,Ohm Frog Red,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-ohm-frog-red-main.jpg,gg-ohm-frog-red-thumb.jpg,,,,,,,,,ohm-frog-red,,,,,
gg-porpoises-blank-01,Porpoises - Blank I,1992,GG,hand blown graal glass,9 × 4 × 4 in.,gg-porpoises-blank-01-main.jpg,gg-porpoises-blank-01-thumb.jpg,,,,,,,,,porpoises-blank-01,,,,,
gg-porpoises-blank-02,Porpoises - Blank II,1992,GG,hand blown graal glass,9 × 4 × 4 in.,gg-porpoises-blank-02-main.jpg,gg-porpoises-blank-02-thumb.jpg,,,,,,,,,porpoises-blank-02,,,,,
gg-porpoises,Porpoises - Blank I,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-porpoises-main.jpg,gg-porpoises-thumb.jpg,,,,,,,,,porpoises,,,,,
gg-sams-frog,Sam's Frog,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-sams-frog-main.jpg,gg-sams-frog-thumb.jpg,,,,,,,,,sams-frog,,,,,
gg-songlines-green,Songlines Green,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-songlines-green-main.jpg,gg-songlines-green-thumb.jpg,,,,,,,,,songlines-green,,,,,
gg-songlines-red-blank,Songlines Red - Blank,1992,GG,hand blown graal glass,9 × 4 × 4 in.,gg-songlines-red-blank-main.jpg,gg-songlines-red-blank-thumb.jpg,,,,,,,,,songlines-red-blank,,,,,
